instruction,response,source,conversation_id,movie_title,genres
"Jusqu'à présent, ces passeurs opéraient seulement dans la région de Palerme. Ce sera une belle surprise pour le lieutenant de Milazzo... Appelez le QG. Mettez-les à jour et demandez-leur de vous donner des instructions sur ce qu'il faut faire avec cette caisse.","Donc... le bateau que nous avons vu hier après-midi aurait pu être celui de ces passeurs. Est-ce possible, alors, cette Anna...",cornell_movie_dialogs,conv_32960,l'avventura,"drama, mystery"
Allez vous faire foutre. Je déteste les Juifs au moins autant que vous.,"Non, vous ne... Si tu les détestais, tu les étudierais, alors tu saurais pourquoi tu les détestes. Tu sais ce que c'est? Tsitsis? Une fusillade? Tu connais le kaddish du kiddush? Eichmann? Il est allé en Israël. Il a étudié la Torah, le Talmud, la Mishna, le tout. Il détestait les Juifs.",cornell_movie_dialogs,conv_75910,the believer,drama
"Ça ne change rien. Si Snyder le sait, tout le monde le sait aussi. Il n'a jamais rien d'abord... Il n'y a pas de réponse chez Luther.","Écoute-moi, Hooker. Qu'est-ce que tu fais, ne retourne pas chez toi ce soir, n'y va pas d'habitude, tu m'entends? Sors d'une ville ou quelque chose, mais...",cornell_movie_dialogs,conv_76882,the sting,"comedy, crime, drama"
"Qu'est-ce qu'ils font pour toi, sauf te gêner?","Et quand les choses se mettent en travers de votre chemin, ou les gens, tu les mets de côté, tu te débarrasses de Them, c'est ton idée?",input_target_csv:input3.csv+target3.csv,input_target_input3_170652,,
Tout va bien. Quelque chose ne va pas?,"Non, pas du tout. Je vais à mon audition. Avant de partir, je voulais te demander si tu pouvais te souvenir du nom de cet homme... L'amie de Tante Ruthie qui a aidé à mettre ça ensemble. J'ai complètement perdu la tête.",cornell_movie_dialogs,conv_61565,mulholland dr.,"drama, mystery, thriller"
Elle dort ici? Jamais?,Non... elle vient juste s'asseoir. Deux ou trois fois par semaine. Et je ne pose jamais de questions. Tant qu'ils se comportent bien. Je dois dire que je me suis demandé...,cornell_movie_dialogs,conv_80386,vertigo,"crime, mystery, romance, thriller"
C'est assez bizarre. Est-il possible pour quelqu'un de ne pas dormir pendant des mois?,C'est rare... mais il y a des cas où les gens passent des années sans dormir. Ils ont diagnostiqué Jason avec une insomnie simple... mais ce n'est pas ce à quoi ça ressemble pour moi. Il a toutes les indications d'avoir insomnie.,cornell_movie_dialogs,conv_57074,freddy vs. jason,"horror, thriller"
Ce ne sont pas des suggestions polies. Ce sont des codes de comportement et ceux qui les ignorent paieront le coût le plus cher.,"Il y a différents degrés de mal. Nous vous exhortons à de petites formes de saletés, pas à repousser les limites et à passer à la vraie corruption... dans notre domaine.",cornell_movie_dialogs,conv_5052,the boondock saints,"action, crime, drama, thriller"
"J'ai deja essaye les solutions de base. Hello, Tu peux recommander un pc pour montage video sous 500 EUR?","Pour appels et musique, privilegiez micro, confort et reduction de bruit. Si vous voulez, je peux aussi vous donner une checklist concise.",qa_csv:synthetic_realistic_qa_fr.csv,qa_synthetic_realistic_qa_fr_64701,,
Tu connais ce type?,"Ses noms Horrace. Horrace, voici Ricky Slade.",cornell_movie_dialogs,conv_18128,made,"comedy, crime, drama, thriller"
Almásy - Pourriez-vous m'écrire ça? Quelle serait cette nationalité?,"Écoute-moi. Une femme est en train de mourir, ma femme! - est en train de mourir à 70 km d'ici. Je marche depuis trois jours! Je ne veux pas épeler mon nom, je veux que tu me donnes cette jeep!",input_target_csv:input3.csv+target3.csv,input_target_input3_127063,,
"D'abord ces autorités sans nom étaient la racine de tout le mal, maintenant c'est insignifiant Burgel. S'il y a eu une erreur -- et une erreur mineure -- vous suggérez que quelqu'un est allé à beaucoup d'ennuis pour quelque chose de si trivial qu'il n'a aucune importance.",Ce qui semble important pour ces gens n'est pas déterminé par la quantité de travail qu'il implique -- vous êtes loin de comprendre les autorités si vous croyez cela.,cornell_movie_dialogs,conv_57151,kafka,"comedy, drama, mystery, sci-fi, thriller"
"Qu'est-ce que c'est? Tu as tout d'un coup eu ce bug que tu devais aller surfer? C'est une ligne, non?","Non, pas du tout. Toute ma vie, j'ai fait des choses pour les autres. Au lycée, j'ai joué au football parce que mon vieux m'attendait. Alors mes parents ont toujours pensé que j'allais à l'école de droit, alors je l'ai fait. Bourse de football. Diplômé Phi Beta Kappa...",cornell_movie_dialogs,conv_65341,point break,"action, adventure, crime, drama, sport, thriller"
Je n'avais pas pensé à ce que je ressentais.,"Quoi, tu allais venir le lendemain tout calme et dire, Kelly qui m'a vraiment rendu fou? Ne me dis pas que tu es en colère. Sois fou. Soyez qui vous êtes maintenant.",cornell_movie_dialogs,conv_5994,cast away,"adventure, drama"
C'est priorite haute pour moi. Je veux un remboursement pour la commande ORD-659497.,"Bien sur, je peux vous aider. Si la commande est dans le delai de retour, le remboursement est valide apres depot ou collecte.",qa_csv:synthetic_realistic_qa_fr.csv,qa_synthetic_realistic_qa_fr_76144,,
La cohérence est le hobboblin de <u>petits</u> esprits. Dites-leur de tester les produits chimiques trouvés dans Windex. C'est un produit pour le nettoyage avec...,"Je connais Windex, pour l'amour de Dieu, je nettoie mes propres fenêtres...",cornell_movie_dialogs,conv_43438,copycat,"crime, mystery, thriller"
Tu devrais y aller maintenant.,"Pas avant qu'on ait quelque chose de direct, petite salope. Je décide quand j'en ai fini avec ton petit ami. Pas lui, et certainement pas vous. A moins que tu veuilles savoir à quel point ces ongles sont tranchants.",cornell_movie_dialogs,conv_6734,dark angel,"action, crime, drama, horror, sci-fi, thriller"
Et moi?,"Votre affaire était préordonnée. D'une certaine manière, vous avez rendu service à l'État... Parce que votre audition nous a permis d'exposer Zira et Cornelius. Et maintenant le Tribunal vous a placé sous ma garde pour... décision finale. Tu sais ce que ça veut dire?",cornell_movie_dialogs,conv_64880,planet of the apes,"action, adventure, sci-fi, thriller, animation, action, adventure, sci-fi"
"Dillinger, Lee Donowitz n'est pas un mac.","Je sais que Richard. Je n'en aurai pas besoin. Mais quelque chose que la semaine dernière m'a appris, c'est mieux d'avoir une arme et de ne pas en avoir besoin que d'avoir besoin d'une arme et de ne pas l'avoir.",cornell_movie_dialogs,conv_79275,true romance,"crime, romance, thriller"
"Regarde-nous. Nous sommes vieux maintenant. Mais une fois que nous étions jeunes. Et quand nous avons vu l'injustice, nous l'avons combattu.","Nous sommes devenus plus sages avec l'âge. Maintenant, nous savons que certains problèmes ne peuvent être réglés avec une épée.",cornell_movie_dialogs,conv_59150,the man in the iron mask,"action, adventure, drama, history"
"C'est priorite normale pour moi. Bonjour, Quelle est votre politique de remboursement?","Parfait, je m'en occupe avec vous. Le remboursement arrive en general sur le moyen de paiement initial sous 5 a 10 jours ouvres.",qa_csv:synthetic_realistic_qa_fr.csv,qa_synthetic_realistic_qa_fr_22568,,
Vous voyez.,Pourquoi ça ne marche pas?,cornell_movie_dialogs,conv_4603,blast from the past,"comedy, drama, romance"
Quand est-ce que ça casse?,"Deux jours. En tout cas, regardez ces sondages de suivi, ils vont brûler dans vos mains: soixante-treize pour cent avec des aînés, quatre-vingt-quatre avec des mères qui travaillent...",cornell_movie_dialogs,conv_44691,dave,"comedy, romance"
Je t'ai dit que je n'allais pas à l'université.,"Je pense que c'est bon de garder toutes vos options ouvertes. Vous pouvez toujours vous inscrire pour le trimestre d'hiver. Tu pourrais même vivre ici et aller à l'université de la ville à temps partiel, et toujours obtenir un emploi si tu le voulais.",cornell_movie_dialogs,conv_9976,ghost world,"comedy, drama"
"La compagnie n'est pas là, n'est-ce pas?","Quand le capitaine est descendu, vous vous êtes intensifié -- que ça vous plaise ou non. Maintenant ils t'entraînent pour ça, donc...",cornell_movie_dialogs,conv_64723,pitch black,"action, sci-fi, thriller"
"Pourquoi ne pas le presser dans Dartmouth? S'il veut juste attraper des homards, il peut l'apprendre ici.","Dartmouth est trop grand et trop cher. S'il est aussi bon que je le pense, il pourra passer à la grande ligue plus tard. Mais Androscoggin d'abord.",cornell_movie_dialogs,conv_18748,mash,"comedy, war, drama"
"Marty, je ne veux pas que tu pendes la maison des arounna ce soir. Va te raser et sors danser.","Maman, quand vas-tu abandonner? Tu dois être célibataire. Je ne me marierai jamais.",cornell_movie_dialogs,conv_18584,marty,"drama, romance"
"Alors, c'est quoi ton problème?",Rien de financier. C'est strictement personnel. Je peux voir comment tout ce malarkey d'importation-exportation pourrait créer de la confusion en ce qui me concerne. Un étranger qui se montre de façon inattendue.,cornell_movie_dialogs,conv_75054,the limey,"crime, drama, mystery, thriller"
Je savais qu'ils avaient un problème.,"Ils sont morts. Ils sont finis. Il y avait un temps où ce busi-ness avait les yeux du monde entier. Mais ce n'était pas suffisant. Oh, non. Ils voulaient aussi les oreilles du monde. Alors ils ont ouvert leur grande bouche, et sont venus parler, parler, parler...",cornell_movie_dialogs,conv_73458,sunset blvd.,"drama, film-noir"
Dlagon n'est pas comme ça. Dlagon est l'éclat de la vie... l'éclat de la longueur et de la bonté.,"Alors vous comprendrez ma quête. Un ogre nommé Blackheart a tué la dernière licorne de cerf et volé sa corne. Le monde extérieur est maudit, plongé dans l'hiver éternel. Si je ne rends pas l'alicorne, la terre sera gelée pour toujours.",cornell_movie_dialogs,conv_16570,legend,"fantasy, adventure, romance"
Pas mal pour un gimp.,"C'est quoi ce ""X"" derrière la tête? Ça veut dire que tu es ""extrême""? J'ai des nouvelles pour vous, M. X, vous avez perdu trois fois. Alors peut-être que tu devrais tatouer un autre couple de X sur ta tête.",cornell_movie_dialogs,conv_82754,xxx,"action, adventure, crime"
[Il a une maladie cardiaque. Angine. Il réagit mal au stress.],[Très bien. Vous arriverez à Columbus Circle et Reforma Avenue à 3h du matin. Tu feras le tour de la place deux fois. Samuel va enlever sa chemise et la tenir par la fenêtre pour identifier la voiture.],cornell_movie_dialogs,conv_18478,man on fire,"action, crime, drama, thriller"
"Je parie que tu ne te souviens pas de ce que tu faisais ici, n'est-ce pas? Tu gagnes combien maintenant? Soixante? Soixante-dix? Et tu vivais dans cet endroit merdique.",Tu sais que ça ne me dérange pas. Et ce n'est pas comme si la place de Ray était meilleure.,cornell_movie_dialogs,conv_12099,high fidelity,"comedy, drama, music, romance"
"La plupart du temps, la recherche archivistique, le catalogage d'anciens documents et l'écriture de notes pour leurs rééditions de CD. C'est vraiment... J'y crois pas.",Rappelez-vous ce que j'ai dit quand nous avons commencé -- cette petite panne pourrait s'avérer être la meilleure chose qui vous soit arrivée!,cornell_movie_dialogs,conv_10186,ghost world,"comedy, drama"
"Tu fais quoi, Wendy? Qu'y a-t-il dans cette tasse?",Le mec que chaque garçon veut être et chaque fille veut tenir. Tu es l'amour de ma vie et la fin du monde. Santé.,cornell_movie_dialogs,conv_53343,happy campers,comedy
"Maman, ils envoient un bus pour nous emmener à l'aéroport. Compris? Si tu es là, ils ne l'enverront pas. Ils penseront que je vais sortir avec toi.",Qu'est-ce qui ne va pas? Le FBI était très compréhensif quand je lui ai expliqué. Tout le monde sait que ce n'est pas toi... Ce sont les pressions de votre vie familiale.,cornell_movie_dialogs,conv_45681,dog day afternoon,"crime, drama"
Enlèvement?,"Je n'achète pas toute l'escroquerie. Comment tu fais? C'est quoi, la drogue? Le chantage? Contrôle mental? Les trois? Qu'est-ce que tu fais -- la garder enfermée dans une boîte quelque part?",cornell_movie_dialogs,conv_25719,simone,"short, drama, horror, thriller"
Je dois vous demander de partir.,Partir? C'est exactement ce que je suis venu vous demander de faire. Partez! Je ne veux pas dire cet hôtel et je ne veux pas dire Paris... Je parle de France. Il y a un avion pour Moscou à 5 h 40.,cornell_movie_dialogs,conv_21287,ninotchka,"comedy, romance"
"Alfred, je suis tête de porc? C'est toujours à ma façon ou sur l'autoroute?","En fait, oui. La mort et le hasard ont volé vos parents. Mais au lieu de devenir une victime, vous avez tout fait pour contrôler le destin. Car qu'est-ce que Batman sinon un effort pour maîtriser le chaos qui balaye notre monde, une tentative de contrôler la mort elle-même.",cornell_movie_dialogs,conv_36939,batman and robin,"action, adventure, crime, drama, sci-fi"
"Je crois que votre ton impliquait qu'il y avait des bonnes nouvelles et, savez-vous... il y aurait peut-être de bonnes nouvelles pour <u>you</u>...","Oui, quoi? Tu ferais <u>bribe</u> moi, pour, pour, pour, ""libérer"" toi...?",cornell_movie_dialogs,conv_53184,hannibal,"crime, thriller"
Bonjour. Surveille la bouche. Regarde.,"Allez, mec, regarde-moi, regarde et écoute...",cornell_movie_dialogs,conv_58978,magnolia,drama
Un tunnel?,"C'est déjà construit! Il y a une sous-structure du sous-sol où ils gardaient des armes et des trucs, mais en dessous il y a ces vieilles catacombes que les chrétiens ont construites il y a mille ans pour enterrer leurs morts. Nous sommes assis juste au-dessus -- ici.",cornell_movie_dialogs,conv_60553,midnight express,"biography, crime, drama, thriller"
Que veux-tu que je fasse?,"Mettez une de vos solutions. Walt sait qu'il s'est lassé avec l'Église, mais cela fait partie de notre plan pour lui faire croire qu'il a les clés du royaume. Ce qu'il pensera si vous graissez les patins pour lui.",cornell_movie_dialogs,conv_18633,mash,"comedy, war, drama"
Et pourquoi?,Parce qu'ils sont tous pareils. C'est toujours un tueur stupide qui harcele une grosse fille poitrine -- qui ne peut pas agir -- qui monte toujours les escaliers quand elle devrait sortir de la porte d'entrée. Ils sont ridicules.,cornell_movie_dialogs,conv_68730,scream,"crime, horror, mystery, thriller"
Vraiment?,"Cinq mille, cinq mille en livraison. Deux femmes, une blanche et une noire, tant qu'elles ont de gros seins. Durement bondage, ou bien sûr. À part cela, en faisant confiance à votre interprétation artistique, je n'ai que deux stipulations.",cornell_movie_dialogs,conv_887,8mm,"crime, mystery, thriller"
"Elle a l'air énervée, effrayée, hostile? Elle a parlé de la police?","Non, mais elle est vraiment énervée et hostile. Et elle commence à penser que c'est quelque chose de mal.",cornell_movie_dialogs,conv_80529,very bad things,"comedy, crime, thriller"
"Les runes étaient une sorte d'alphabet précoce originaire de l'Europe du Nord il y a des milliers d'années. Ils étaient des symboles -- sculptés en pierre ou en morceaux de bois. De toutes les runes, Thorn avait l'influence la plus négative. Cultes les ont utilisés dans les rituels de sang pour porter les événements futurs et invoquer la magie.","La magie noire... Dans les temps anciens, Thorn était cru à causer la maladie, la famine et la mort. Traduit littéralement, c'était le nom d'un esprit démoniaque qui a livré des sacrifices humains... sur la célébration celtique de Samhain.",cornell_movie_dialogs,conv_11291,halloween: the curse of michael myers,"horror, thriller"
Donc... commencer par nous dire votre nom -- en supposant que vous avez le droit de nous en dire autant?,Mon nom est Jeanne. Ma petite croix que j'avais autour du cou m'a été enlevée. J'aimerais la récupérer.,cornell_movie_dialogs,conv_76607,the messenger,"drama, romance, war"
Et la drogue?,"Plus dur que je ne le pensais. Ça m'a pris trois essais. Mais j'étais très motivé -- j'ai pensé qu'il n'était pas utile de me quitter et de prendre ça. Après deux bombardements, j'ai trouvé un endroit dans le désert...",cornell_movie_dialogs,conv_20144,mumford,"comedy, drama"
Pour l'avion? Qu'est-ce que tu crois que ça va faire? Ne dis pas ça...,Je sais que nous en avons parlé mille fois et nous sommes tous les deux d'accord pour dire qu'aller à Londres est la bonne chose à faire. Mais dans mon cœur... ça me semble mal.,input_target_csv:input3.csv+target3.csv,input_target_input3_130814,,
Oui.,"J'y pensais avant. J'avais Margaret. Elle voulait des enfants. J'ai pensé à déménager quelque part comme l'Europe. Je pouvais voir tout ça, la première partie, la sortie, mais je ne voyais pas la prochaine partie. Et alors? Alors j'arrête d'y penser et je retourne travailler. Compris?",cornell_movie_dialogs,conv_35708,assassins,"action, thriller, crime"
"Tu n'avais pas l'air désolé quand tu riais de toutes les blagues stupides, sans goût, cruelles d'animaux de ta mère.",J'essayais simplement de garder la lumière du soir. Tu sais que je te ressemble à propos de la nature.,cornell_movie_dialogs,conv_12983,human nature,"comedy, drama"
"Je crois que vous l'auriez fait. Une autre chute, j'ai fait sept ans à Lompoc. Et je ne parle pas de l'endroit d'à côté où les gens de Nixon sont allés.","Je connais la différence. Vous étiez à Lompoc USP, le pénitencier fédéral. J'y ai livré des gens. Donc vous avez passé la moitié de votre vie en prison.",cornell_movie_dialogs,conv_63997,out of sight,"comedy, crime, romance, thriller"
Il a plus de cerveaux et de tripes dans un coin de son trou du cul que n'importe quel flic avec qui j'ai travaillé.,Juste parce que tu le dis avec conviction ne veux rien dire pour moi... Comment vas-tu prendre une glissade rose?,cornell_movie_dialogs,conv_659,48 hrs.,"action, comedy, crime, drama, thriller"
Tu es sûr? C'est peut-être le genre d'ami que je suis.,"C'est pas vrai! Qu'est-ce qu'il a? C'est un beau saloon, mais il y a d'autres beaux saloons. Ce n'est pas l'argent. Pas pour toi. Pourquoi je ne peux pas m'en occuper? Cobb dit qu'on ne sait pas de quoi vous allez vous soucier.",cornell_movie_dialogs,conv_25612,silverado,"action, western"
"Non, vraiment. Que fait-elle?",Vraiment. Elle pense qu'il est là. Même si elle ne l'a jamais rencontré. Même si elle ne l'a jamais vu.,cornell_movie_dialogs,conv_63522,only you,"comedy, romance"
Il n'y a rien que je cache. C'est juste que...,"Ça n'a aucun sens pour moi. Qu'est-ce qui est si différent ici de là-bas, ou n'importe quel endroit où vous allez, qu'une personne ne pouvait pas vivre dans les deux endroits tout aussi facilement?",cornell_movie_dialogs,conv_23840,rear window,"crime, mystery, romance, thriller"
"Quoi qu'il en soit, l'État donne cent mille dollars en son nom à chaque école qui a une classe des besoins spéciaux.",C'est fantastique. Donc tout ce qu'on a à faire c'est tuer ce Moffit et on a tout l'argent!,cornell_movie_dialogs,conv_46092,dumb and dumberer: when harry met lloyd,comedy
"Pardon, bon Mercutio, mon affaire était géniale, et dans un cas comme le mien, un homme peut faire preuve de courtoisie.","C'est autant que dire, un tel cas que le vôtre oblige un homme à s'incliner dans les jambons.",cornell_movie_dialogs,conv_66845,romeo and juliet,"drama, romance"
"Raymond, je suis le seul avocat criminel que tu as.",Je suppose que ça fait de toi le meilleur. Elle héritera de trois millions de dollars. En tant qu'exécuteurs de la succession et ses avocats qui pourraient générer beaucoup de frais juridiques pour nous. Je te demande juste de lui parler.,cornell_movie_dialogs,conv_39170,body of evidence,"drama, romance, thriller"
Ça me semble très intelligent.,"Quel genre de pays est-ce devenu? Les hommes portent des perles et refusent de se battre, et la femme les adore. Les temps de grandeur de l'Amérique sont terminés. Il a bu la soupe bleue.",cornell_movie_dialogs,conv_11393,"happy birthday, wanda june","comedy, drama"
"La semaine dernière, un gros respirateur voulait un de mes nylons comme souvenir. C'est peut-être ce qu'il voulait?","Ecoute, poupée, si je voulais des sous-vêtements, je serais entré par effraction chez Frederick d'Hollywood. Je cherche le testament de Marvin Acme.",cornell_movie_dialogs,conv_66735,who framed roger rabbit,"animation, comedy, crime, family, fantasy, mystery, animation, adventure, action, fantasy"
Vous possédez cet endroit?,"Cet endroit, celui de l'autre côté de la rue, quatre autres autour de Ciudad Leon-- soja el Rey de las Llantas. Roi des Pneus. Beaucoup de vos hommes retournent sur le pont sur mon caoutchouc.",cornell_movie_dialogs,conv_58286,lone star,"drama, mystery, romance, western"
"Excusez-moi, monsieur?",Feu toute la division. Nous emménageons plus de la division des opérations à Manhattan de toute façon. Celui qui reste de la conversion n'est plus nécessaire. Nous avons déjà toutes les personnes clés ici. N'importe qui d'autre est durable.,cornell_movie_dialogs,conv_61697,murderland,"crime, drama, mystery"
"Quoi? Où avons-nous des réserves? Je n'ai pas vraiment faim, mais j'aimerais avoir des réservations quelque part.",Je n'y crois pas. Il a l'air si... normal. Il semble tellement... hors de ça. C'est... si dangereux.,cornell_movie_dialogs,conv_2713,american psycho,"drama, thriller"
"Il a eu trois ans et a condamné à une amende de cinquante millions de dollars et leur a fait un chèque. Comme ça, cinquante millions, ont signé son nom. Un peu d'aide!","A qui tu parles, Studs? Moi, ou Buddy. Je ne sais pas, tu as ces nuances.",cornell_movie_dialogs,conv_64030,out of sight,"comedy, crime, romance, thriller"
"Et puis, Papa essaie toujours de trouver comment faire fonctionner son nouveau téléviseur.","Je l'avais, il y a une minute...",cornell_movie_dialogs,conv_29158,the majestic,"drama, romance"
Quand tu buvais ton déjeuner au bar du Sans Souci...,"Ce type de la Maison Blanche, un bon, un pro, est venu et a demandé quelle est cette contrainte Watergate avec vous les gars et j'ai dit, eh bien, nous pensons que c'est important et il a dit, si c'est si important, qui sont Woodward et Bernstein?",cornell_movie_dialogs,conv_34000,all the president's men,"drama, history, thriller"
Tu dois être un héros. Tous les Américains pensent être des cowboys.,"J'étais un Indien, en fait. Cette foutue peinture psychopathe...! Si c'est censé être doux, je ne veux pas savoir pour le médium. La planète Terre. C'est bon d'être de retour.",cornell_movie_dialogs,conv_34268,an american werewolf in paris,"horror, romance, thriller, comedy"
Ne me donne pas cette merde... tu voulais prendre ces photos autant que moi aussi.,Faux! J'étais prêt à faire tout ce qu'il fallait pour te sortir de ton cul et en route pour la Californie... Il y a une grande différence.,cornell_movie_dialogs,conv_15639,kalifornia,"crime, drama, thriller"
Savez-vous où ils vivent?,Oh oui... Ils ont trouvé nos connaissances utiles pendant un certain temps. Ils nous utilisaient beaucoup comme votre peuple. Puis ils ont décidé qu'ils en avaient assez appris pour nous arracher des pièces de rechange.,cornell_movie_dialogs,conv_30027,the time machine,"sci-fi, adventure, action"
Excusez-moi?,"Voyons voir, tu es sa sœur inquiète. Hier, j'ai rencontré son père inquiet qui avait cinq ans de moins que toi. En fait, j'ai arrêté la soirée en le regardant se faire électrocuter. Ils parlent d'affaires comme ça dans le manuel de l'œil privé... quelque chose sur un poteau de 10 pieds.",cornell_movie_dialogs,conv_49931,the adventures of ford fairlane,"action, adventure, comedy, music"
"Golly, Ma -- Consarn cette musique! Je ne devrais pas avoir le festival des récoltes ce soir.",Des bâtons! Elle ne l'entend pas. J'ai de la meilleure musique à écouter. Voilà ce que je veux dire.,cornell_movie_dialogs,conv_45435,the devil and daniel webster,"comedy, drama, fantasy"
"On dirait une ferme pour moi. Appeler ça un établissement laitier, c'est juste de la tromperie et du fleu.","Trickery et flummery ou pas, elle y va demain dans le bus! C'est réglé! Et je dois dire qu'on a été plus qu'honnêtes envers toi, Rose, c'est plutôt égoïste et méchant de ta part de pleurer comme ça!",cornell_movie_dialogs,conv_66159,rambling rose,drama
Maintenant le shérif croyait que la batterie D-6 dans le puits de Carl était la propre réserve de Carl. Même si c'était trop grand...,"Aucun sens d'avoir <u>any</u> du tout., même la bonne taille. C'est comme avoir une batterie supplémentaire dans le coffre de votre voiture. Personne ne le sait.",cornell_movie_dialogs,conv_70544,snow falling on cedars,"drama, mystery, romance, thriller"
Bien sûr. Il ne leur a pas fait de mal?,"Pas encore. Je veux que vous donniez ça à Mizz Wheatley. C'est pas grand-chose, mais il y a peut-être quelque chose à faire. Frappe ce que j'ai gagné à réparer des tondeuses à gazon et ce qui ne fermait pas Bill Cox.",cornell_movie_dialogs,conv_70404,sling blade,drama
"Nous avons un oiseau rare ici, Michael. Les grands blancs ne viennent pas aux Bahamas. Il n'y en a jamais eu ici. Je ne vais pas le laisser nager.","Mon nom va sur ce rapport. C'est un boulot à moitié cul, je n'ai pas mon doctorat. Toi non plus...",cornell_movie_dialogs,conv_56271,jaws: the revenge,thriller
Les Antilles?,"Un contrat d'une année -- un voyage avec toutes les dépenses payées -- ce n'est pas si mal, tu sais.",cornell_movie_dialogs,conv_54906,i walked with a zombie,horror
C'est Curtis.,Qu'est-ce qu'il fait?,cornell_movie_dialogs,conv_52585,hackers,"action, crime, drama, thriller"
"Je n'ai aucune idée de l'amour. Et toi non plus. Je veux dire, aucun de nous ne saurait ce que c'était si on le voyait descendre la rue.","Je le saurais, Eddie. Je le saurais. Pour l'amour de Dieu, qu'essaies-tu de me faire? Je t'aime.",cornell_movie_dialogs,conv_13168,the hustler,"drama, romance, sport"
"On est séparés du milieu. Si j'avais tenu un vote, je pense que la frappe aérienne battrait le blocus par un vote ou deux.","Je veux un consensus, Bobby. Un consensus. Attaque aérienne ou blocus. Quelque chose que tout le monde attendra, même s'il n'aime pas. J'en ai besoin pour samedi. Faites que ça arrive.",cornell_movie_dialogs,conv_30738,thirteen days,"drama, history, thriller"
"Désolé, mec, je ne sais pas de quoi tu parles.","Je parle des voitures de sport qui disparaissent des quais de Gênes et finissent ici. Si tu ne les connais pas, qui le sait?",cornell_movie_dialogs,conv_82836,xxx,"action, adventure, crime"
C'est facile: 6 pouces. On a des trucs aussi gros en stock.,"Oui, j'ai remarqué. Supposons -- supposez simplement -- que je pourrais vous montrer un moyen de fabriquer un mur qui ferait le même travail mais n'était qu'un pouce d'épaisseur. Ça te vaudrait quelque chose?",cornell_movie_dialogs,conv_27403,star trek iv: the voyage home,"adventure, comedy, sci-fi"
Je suis un homme.,"On doit faire quelque chose pour changer la voix de ce garçon. Je me demande si on ne pourrait pas avoir des boules de taureau quelque part, et les faire frire. Ta mère te manque encore?",cornell_movie_dialogs,conv_11358,"happy birthday, wanda june","comedy, drama"
Combien de temps?,"Trop longtemps! Trop longtemps. Maintenant, pour la vie de moi, je n'ai pas été capable de gâcher ça. Soit les Coréens sont des génies, soit nous, les Noirs, sommes idiots.",cornell_movie_dialogs,conv_45799,do the right thing,drama
"Et pourquoi vous faites toujours référence à vous-même dans la troisième personne, comme Napoléon? Pourquoi ça se transforme toujours en dispute avec toi?","J'ai les cheveux, les yeux, les dents, la voiture. Je suis le chanteur principal, je suis l'homme.",cornell_movie_dialogs,conv_64287,peggy sue got married,"comedy, drama, fantasy, romance"
C'est tout ce qui t'intéressait. J'ai dû jouer dans mille matchs et je me souviens que tu étais à deux.,Tu avais tes entraîneurs et ton père pour ça. Ça n'a jamais compté d'une façon ou d'une autre si je suis allé à vos jeux.,cornell_movie_dialogs,conv_58767,love & basketball,"drama, romance, sport"
C'est gentil... J'aimerais qu'on puisse tous s'entendre ainsi. Je vais vérifier. Je peux faire quelque chose pour toi?,C'est ma première fois à la Maison Blanche. Y a-t-il une chance de voir où il travaille et le reste?,cornell_movie_dialogs,conv_40158,broadcast news,"comedy, drama, romance"
Il a été accusé d'altération du jury.,"Accusé. Pas inculpé. Il a démissionné. Divorcé dix-neuf soixante-dix. Galvin a travaillé avec Michael Morrissey jusqu'à ce que Morrissey prenne sa retraite en 78. Depuis, il est seul. Quatre affaires portées devant le tribunal de circuit. Il les a tous perdus. Il boit.",cornell_movie_dialogs,conv_80141,verdict,drama
Le coffre de Powwow?,"Son coffre personnel, il lui a donné un nom. Tu me dis qu'ils ont pris son bureau, mis le buffet là-bas? Alors qui sait ce qu'ils ont changé.",cornell_movie_dialogs,conv_24177,reindeer games,"action, crime, drama, thriller"
Mais... ça n'y est pas arrivé tout seul.,Vrai - chaque événement a un nombre infini de causes - mais pourquoi choisir l'un plutôt que l'autre? Il y a beaucoup de façons qu'une épée se trouve dans un champ...,cornell_movie_dialogs,conv_76702,the messenger,"drama, romance, war"
"Alors tu m'as vu à la télé et tu as dit ""Hey, laisse-moi sauter dessus.","J'ai besoin d'aide. Combien de fois s'il m'était arrivé une petite chose, ça aurait tout changé. Si j'avais quelques dollars quand une opportunité est venue ou... les tmblers n'ont jamais cliqué pour moi.",cornell_movie_dialogs,conv_46528,edtv,comedy
Alors?,"Le compteur de vitesse de sa voiture a montré qu'elle avait parcouru 94 milles ce jour-là. Où est-elle allée? Je dois savoir, Scottie. Où elle va et ce qu'elle fait, avant que je m'occupe des médecins.",cornell_movie_dialogs,conv_80281,vertigo,"crime, mystery, romance, thriller"
- et elle est dynamite!,"Mais, Al, c'est la couchette! Norville m'a montré son design pour le truc le jour où je l'ai rencontré! Pourquoi Buzz n'aurait pas pu l'inventer -- regardez cet homme -- c'est un imbécile!",cornell_movie_dialogs,conv_54783,the hudsucker proxy,"comedy, drama, fantasy, romance"
Comment pouvez-vous faire ça?,Nous donnons à chacun de nos clients un formateur personnel qualifié. Et il va vous donner une évaluation de la condition physique et ensuite trouver le plan d'entraînement pour vos besoins.,dialog_csv:test.csv,dialog_test_675,,
