instruction,response,history
Rappelle mon prenom et ma ville.,Tu t'appelles Rachid et ta ville est Bordeaux.,"Utilisateur: Salut, je m'appelle Rachid. ||| Assistant: Enchante, je retiens ton prenom. ||| Utilisateur: Je viens de Bordeaux. ||| Assistant: Parfait, je retiens ta ville."
Quel est mon sport prefere ?,Ton sport prefere est le natation.,"Utilisateur: Bonjour, je m'appelle Nadia. ||| Assistant: Enchante, je retiens ton prenom. ||| Utilisateur: J'habite a Lyon. ||| Assistant: D'accord, je retiens ta ville. ||| Utilisateur: Mon sport prefere est le natation. ||| Assistant: Parfait, je retiens ton sport prefere. ||| Utilisateur: Demain je veux m'entrainer 40 minutes le dimanche. ||| Assistant: Tres bien, je retiens ton objectif sportif."
Tu peux me rappeler mon prenom ?,Ton prenom est Yanis.,"Utilisateur: Salut, je m'appelle Yanis. ||| Assistant: Enchante, je retiens ton prenom. ||| Utilisateur: Je viens de Nice. ||| Assistant: Parfait, je retiens ta ville."
D'où ça vient?,"Oh, vous connaissez l'ancienne histoire -- le train de chariots Hessian qui a été embusqué sur le chemin de Saratoga. Une partie de l'or a été enterrée sous votre grange!",
Dans quelle ville j'habite ?,Tu habites a Nantes.,"Utilisateur: Bonjour, je m'appelle Amine. ||| Assistant: Enchante, je retiens ton prenom. ||| Utilisateur: J'habite a Nantes. ||| Assistant: D'accord, je retiens ta ville. ||| Utilisateur: Mon sport prefere est le natation. ||| Assistant: Parfait, je retiens ton sport prefere. ||| Utilisateur: Demain je veux m'entrainer 45 minutes le dimanche. ||| Assistant: Tres bien, je retiens ton objectif sportif."
Tu peux me rappeler mon prenom ?,Ton prenom est Ines.,"Utilisateur: Salut, je m'appelle Ines. ||| Assistant: Enchante, je retiens ton prenom. ||| Utilisateur: Je viens de Toulouse. ||| Assistant: Parfait, je retiens ta ville."
Dans quelle ville j'habite ?,Tu habites a Nantes.,"Utilisateur: Bonjour, je m'appelle Sofia. ||| Assistant: Enchante, je retiens ton prenom. ||| Utilisateur: J'habite a Nantes. ||| Assistant: D'accord, je retiens ta ville. ||| Utilisateur: Mon sport prefere est le velo. ||| Assistant: Parfait, je retiens ton sport prefere. ||| Utilisateur: Demain je veux m'entrainer 60 minutes le jeudi. ||| Assistant: Tres bien, je retiens ton objectif sportif."
Quel est mon sport prefere ?,Ton sport prefere est le natation.,"Utilisateur: Bonjour, je m'appelle Nadia. ||| Assistant: Enchante, je retiens ton prenom. ||| Utilisateur: J'habite a Marseille. ||| Assistant: D'accord, je retiens ta ville. ||| Utilisateur: Mon sport prefere est le natation. ||| Assistant: Parfait, je retiens ton sport prefere. ||| Utilisateur: Demain je veux m'entrainer 30 minutes le mardi. ||| Assistant: Tres bien, je retiens ton objectif sportif."
Et ma ville ?,Ta ville est Paris.,"Utilisateur: Salut, je m'appelle Sarah. ||| Assistant: Enchante, je retiens ton prenom. ||| Utilisateur: Je viens de Paris. ||| Assistant: Parfait, je retiens ta ville."
Excusez-moi?,"Nous avons aussi pensé que nous n'avions pas eu de nouvelles de vous -- nous avons eu un peu de cauchemar publicitaire, les gens ont parlé. Nos bureaux ont été brisés -- le vandalisme surtout -- peu de temps après que nous ayons parlé.",
Dans quelle ville j'habite ?,Tu habites a Toulouse.,"Utilisateur: Bonjour, je m'appelle Sofia. ||| Assistant: Enchante, je retiens ton prenom. ||| Utilisateur: J'habite a Toulouse. ||| Assistant: D'accord, je retiens ta ville. ||| Utilisateur: Mon sport prefere est le running. ||| Assistant: Parfait, je retiens ton sport prefere. ||| Utilisateur: Demain je veux m'entrainer 30 minutes le mardi. ||| Assistant: Tres bien, je retiens ton objectif sportif."
"Que pensez-vous qu'il voulait dire, cet incident particulier? Il y en avait d'autres? Comment le découvrir? Tu connais quelqu'un d'important?","J'ai vécu ici toute ma vie, j'ai eu un million de contacts, mais ce sont tous des garçons de bus et des clochers.",
"Ça ne peut pas être réel, ça ne peut pas être réel, ça ne peut pas être réel.","Oh, c'est réel... aussi réel que je le veux, maman... regarde, vois la magie dans mes coups de pinceau.",
Et ma ville ?,Ta ville est Bordeaux.,"Utilisateur: Salut, je m'appelle Mehdi. ||| Assistant: Enchante, je retiens ton prenom. ||| Utilisateur: Je viens de Bordeaux. ||| Assistant: Parfait, je retiens ta ville."
"Jesus, chérie...il a toujours plaisanté sur toi <u>curing</u> lui, mais je n'ai jamais réalisé ce que tu l'as guéri de</u>.","Il n'avait pas dormi de bonne nuit depuis des années. Les cauchemars le réveillaient, et il commençait à peindre... Ce garçon ressemblait à un enfer pluperfect.",
Rappelle mon prenom et ma ville.,Tu t'appelles Yanis et ta ville est Toulouse.,"Utilisateur: Salut, je m'appelle Yanis. ||| Assistant: Enchante, je retiens ton prenom. ||| Utilisateur: Je viens de Toulouse. ||| Assistant: Parfait, je retiens ta ville."
Trente secondes...,"... pour empêcher un ennemi de faire exactement ce que nous essayons; en utilisant <u>notre</u> console pour appuyer sur un message, un ordre de baisser les satanés boucliers de Reliant...",
Tu peux me rappeler mon prenom ?,Ton prenom est Amine.,"Utilisateur: Salut, je m'appelle Amine. ||| Assistant: Enchante, je retiens ton prenom. ||| Utilisateur: Je viens de Paris. ||| Assistant: Parfait, je retiens ta ville."
Bien sûr.,"C'est très clair maintenant. Bruce a besoin d'une femme qui peut lui donner un foyer -- et de l'affection -- et la paix. Je ne pouvais pas faire ça pour lui, Walter. Je suis ce que tu m'as fait -- une journaliste bon marché qui allait abandonner son âme pour une histoire!... C'est encore ouvert?",
Quel est mon prenom ?,Ton prenom est Sofia.,"Utilisateur: Bonjour, je m'appelle Sofia. ||| Assistant: Enchante, je retiens ton prenom. ||| Utilisateur: J'habite a Toulouse. ||| Assistant: D'accord, je retiens ta ville. ||| Utilisateur: Mon sport prefere est le natation. ||| Assistant: Parfait, je retiens ton sport prefere. ||| Utilisateur: Demain je veux m'entrainer 30 minutes le mardi. ||| Assistant: Tres bien, je retiens ton objectif sportif."
Tu ne regrettes pas de rencontrer ta femme?,"Pourquoi? À cause de la douleur que je ressens maintenant? J'ai des regrets, Will, mais je ne regrette pas un jour que j'ai passé avec elle.",
"J'ai fait une erreur de t'engager, tu n'es pas à la hauteur.","Tu aimes vraiment essayer de terrifier les gens, n'est-ce pas? Bien, sauf qu'il n'y a pas d'ingénieur plus qualifié et nous le savons tous les deux. Et puisque le temps est si important pour vous, combien de temps pensez-vous qu'il faudrait pour trouver quelqu'un d'autre qualifié et l'amener ici?",
Tu fais une traînée? Je ne sais pas. Les filles essayent à peu près tout maintenant mais...,"Non, ce que tu as dit, je peux venir à Metropolis? J'en ai rêvé, mais je n'y ai jamais vraiment pensé. Que ferais-je quand j'y serai arrivée?",
Fais un recapitulatif de ce que tu sais sur moi.,"Tu t'appelles Nadia, tu habites a Marseille, ton sport prefere est le velo, et tu veux t'entrainer 40 minutes le samedi.","Utilisateur: Bonjour, je m'appelle Nadia. ||| Assistant: Enchante, je retiens ton prenom. ||| Utilisateur: J'habite a Marseille. ||| Assistant: D'accord, je retiens ta ville. ||| Utilisateur: Mon sport prefere est le velo. ||| Assistant: Parfait, je retiens ton sport prefere. ||| Utilisateur: Demain je veux m'entrainer 40 minutes le samedi. ||| Assistant: Tres bien, je retiens ton objectif sportif."
Rappelle mon objectif d'entrainement.,Ton objectif est de t'entrainer 40 minutes le dimanche.,"Utilisateur: Bonjour, je m'appelle Yanis. ||| Assistant: Enchante, je retiens ton prenom. ||| Utilisateur: J'habite a Paris. ||| Assistant: D'accord, je retiens ta ville. ||| Utilisateur: Mon sport prefere est le foot. ||| Assistant: Parfait, je retiens ton sport prefere. ||| Utilisateur: Demain je veux m'entrainer 40 minutes le dimanche. ||| Assistant: Tres bien, je retiens ton objectif sportif."
Et ma ville ?,Ta ville est Nantes.,"Utilisateur: Salut, je m'appelle Yanis. ||| Assistant: Enchante, je retiens ton prenom. ||| Utilisateur: Je viens de Nantes. ||| Assistant: Parfait, je retiens ta ville."
"Jusqu'à présent, ce que j'ai obtenu de vous est significatif regards sur la table du dîner et beaucoup de suggestions vagues sur le lendemain de demain...","Je ne suis pas conscient de vous avoir donné des regards significatifs. Et pour ce qui est de l'après-demain, c'est l'après-demain, et je vous vois malheureusement... Si vous voulez bien m'excuser, j'aimerais prendre un bain.",
Pourquoi?,"Cécile s'il y a une chose que je suis douée pour les lettres d'amour. Avec mon aide, il mangera de la paume de ta main. Peut-être pouvons-nous nous réunir un peu pour vous deux chez moi.",
Dans quelle ville j'habite ?,Tu habites a Lyon.,"Utilisateur: Bonjour, je m'appelle Yanis. ||| Assistant: Enchante, je retiens ton prenom. ||| Utilisateur: J'habite a Lyon. ||| Assistant: D'accord, je retiens ta ville. ||| Utilisateur: Mon sport prefere est le natation. ||| Assistant: Parfait, je retiens ton sport prefere. ||| Utilisateur: Demain je veux m'entrainer 60 minutes le jeudi. ||| Assistant: Tres bien, je retiens ton objectif sportif."
"C'est priorite basse pour moi. J'ai oublie mon mot de passe, comment le reinitialiser?","Utilisez 'Mot de passe oublie' puis suivez les instructions recues par email. Si vous voulez, je peux aussi vous donner une checklist concise.",
Fais un recapitulatif de ce que tu sais sur moi.,"Tu t'appelles Rachid, tu habites a Toulouse, ton sport prefere est le foot, et tu veux t'entrainer 40 minutes le lundi.","Utilisateur: Bonjour, je m'appelle Rachid. ||| Assistant: Enchante, je retiens ton prenom. ||| Utilisateur: J'habite a Toulouse. ||| Assistant: D'accord, je retiens ta ville. ||| Utilisateur: Mon sport prefere est le foot. ||| Assistant: Parfait, je retiens ton sport prefere. ||| Utilisateur: Demain je veux m'entrainer 40 minutes le lundi. ||| Assistant: Tres bien, je retiens ton objectif sportif."
Rappelle mon objectif d'entrainement.,Ton objectif est de t'entrainer 45 minutes le jeudi.,"Utilisateur: Bonjour, je m'appelle Lea. ||| Assistant: Enchante, je retiens ton prenom. ||| Utilisateur: J'habite a Paris. ||| Assistant: D'accord, je retiens ta ville. ||| Utilisateur: Mon sport prefere est le running. ||| Assistant: Parfait, je retiens ton sport prefere. ||| Utilisateur: Demain je veux m'entrainer 45 minutes le jeudi. ||| Assistant: Tres bien, je retiens ton objectif sportif."
"Calme-toi, ma belle. Vous n'avez pas vu le panneau qui dit ""Dimout Zone""? Il y a une guerre.",Allez. Vous essayez sérieusement de me dire que les Japs ne trouvent pas Los Angeles sans mes phares?,
Et ma ville ?,Ta ville est Paris.,"Utilisateur: Salut, je m'appelle Rachid. ||| Assistant: Enchante, je retiens ton prenom. ||| Utilisateur: Je viens de Paris. ||| Assistant: Parfait, je retiens ta ville."
Rappelle mon objectif d'entrainement.,Ton objectif est de t'entrainer 60 minutes le samedi.,"Utilisateur: Bonjour, je m'appelle Amine. ||| Assistant: Enchante, je retiens ton prenom. ||| Utilisateur: J'habite a Toulouse. ||| Assistant: D'accord, je retiens ta ville. ||| Utilisateur: Mon sport prefere est le natation. ||| Assistant: Parfait, je retiens ton sport prefere. ||| Utilisateur: Demain je veux m'entrainer 60 minutes le samedi. ||| Assistant: Tres bien, je retiens ton objectif sportif."
"Oui, monsieur. Général, puis-je poser une question?","Certainement, commandant Mandrake. Vous êtes un bon officier, et vous pouvez me poser une question quand vous voulez.",
J'ai été aussi proche d'eux que n'importe qui. Mais pas assez près pour une vraie observation...,"J'ai l'impression d'avoir fait une fois quand j'étais petite. C'est terrible, peur et solitude... J'avais erré - j'ai oublié pourquoi - mais la famille et toute la foule des voisins me chassaient. Ils m'ont trouvé dans une église. J'avais peur d'aller ailleurs.",
Un travail?,"Tu m'as dit que tu étais plutôt bon avec les jeunes. Aujourd'hui, j'ai rencontré une de mes amies, Mme Wheeler, qui dirige une maison d'habitation dans le village et cherche un professeur de maternelle.",
Qu'est-ce qui m'importe ce que tu penses de son apparence? Tu veux baiser mon partenaire ou faire des affaires?,"Attendez au téléphone. Tu reçois un appel. Ou peut-être pas. D'ici là, énerve-toi d'où tu viens...",
Ta mère voudra m'embrasser? Rendez-moi mes lettres. C'est les pauses que j'ai. Ce sont les mères qui me sont toujours reconnaissantes. Ici.,Vous êtes quelqu'un de particulier. Pourquoi l'autre jour j'ai supplié avec vous de ne pas envoyer cette histoire et,
Alors pourquoi pensez-vous que je devrais travailler pour l'Agence de sécurité nationale?,"Tu travaillerais à la pointe. Tu serais exposé au genre de technologie que tu ne pouvais voir nulle part ailleurs parce que nous l'avons classée. Super théorie des cordes, Chaos Math, algorithmes avancés...",
Et ma ville ?,Ta ville est Toulouse.,"Utilisateur: Salut, je m'appelle Nadia. ||| Assistant: Enchante, je retiens ton prenom. ||| Utilisateur: Je viens de Toulouse. ||| Assistant: Parfait, je retiens ta ville."
Dans quelle ville j'habite ?,Tu habites a Marseille.,"Utilisateur: Bonjour, je m'appelle Nadia. ||| Assistant: Enchante, je retiens ton prenom. ||| Utilisateur: J'habite a Marseille. ||| Assistant: D'accord, je retiens ta ville. ||| Utilisateur: Mon sport prefere est le basket. ||| Assistant: Parfait, je retiens ton sport prefere. ||| Utilisateur: Demain je veux m'entrainer 30 minutes le vendredi. ||| Assistant: Tres bien, je retiens ton objectif sportif."
"Cornelius, pourquoi insistes-tu pour le provoquer?",Aucune créature ne peut survivre dans cette partie de la zone interdite. J'y suis allé. Je l'ai vu.,
Rappelle mon prenom et ma ville.,Tu t'appelles Lea et ta ville est Lille.,"Utilisateur: Salut, je m'appelle Lea. ||| Assistant: Enchante, je retiens ton prenom. ||| Utilisateur: Je viens de Lille. ||| Assistant: Parfait, je retiens ta ville."
Rappelle mon objectif d'entrainement.,Ton objectif est de t'entrainer 30 minutes le mardi.,"Utilisateur: Bonjour, je m'appelle Nadia. ||| Assistant: Enchante, je retiens ton prenom. ||| Utilisateur: J'habite a Lyon. ||| Assistant: D'accord, je retiens ta ville. ||| Utilisateur: Mon sport prefere est le natation. ||| Assistant: Parfait, je retiens ton sport prefere. ||| Utilisateur: Demain je veux m'entrainer 30 minutes le mardi. ||| Assistant: Tres bien, je retiens ton objectif sportif."
Vous m'avez convaincu que vous devez être qui vous dites être. Aucun humain vivant n'a jamais vu cette machine. Mais pourquoi? Pourquoi même dans mes années crépusculaires j'envisagerais d'envoyer quelqu'un dans le temps?,"Vous ne l'avez pas fait, professeur. C'était un accident! Tu vois, ce qui s'est passé...",
Rappelle mon objectif d'entrainement.,Ton objectif est de t'entrainer 20 minutes le jeudi.,"Utilisateur: Bonjour, je m'appelle Ines. ||| Assistant: Enchante, je retiens ton prenom. ||| Utilisateur: J'habite a Toulouse. ||| Assistant: D'accord, je retiens ta ville. ||| Utilisateur: Mon sport prefere est le velo. ||| Assistant: Parfait, je retiens ton sport prefere. ||| Utilisateur: Demain je veux m'entrainer 20 minutes le jeudi. ||| Assistant: Tres bien, je retiens ton objectif sportif."
"Oui, je le pensais.",C'est à propos d'Atlanta et Birmingham.,
Tu peux me rappeler mon prenom ?,Ton prenom est Rachid.,"Utilisateur: Salut, je m'appelle Rachid. ||| Assistant: Enchante, je retiens ton prenom. ||| Utilisateur: Je viens de Nantes. ||| Assistant: Parfait, je retiens ta ville."
"Ils ont tout faux. Ils surveillent les entrepôts, les quais de chargement, cherchent un trafiquant. Le Joker fournit des ingrédients contaminés à la source.",Ça ne peut pas être vrai. Cela signifierait que chaque envoi de chaque produit est empoisonné. On serait tous morts.,
Bonjour. Voici Nikki. Laissez un message.,"Bonjour, Nikki. C'est encore Mike. Je viens d'appeler parce qu'on aurait dit que ta machine m'avait coupé avant que je te donne mon numéro, et aussi pour te dire pardon d'avoir appelé si tard, mais tu étais toujours là quand j'ai quitté Dresde, donc je savais que j'aurais ta machine. Bref, mon numéro est...",
Faisons plus de popcorn.,Vous en avez assez. Asseyez-vous et regardons le reste du film.,
Et si cette cassette entre dans les mauvaises mains?,"Les mauvaises mains? On ne parle pas de secrets militaires, John. Ce ne sont que des cassettes qu'il fabrique pour qu'il puisse s'asseoir et descendre.",
Merci de ne pas m'appeler menteur. Fils de pute. Fils de...,"Bonsoir tout le monde, je suis Paige Novodor. Qu'est-ce qui aurait dû être une audience d'autorisation de routine transformée en blitlam hier quand le dirigeant flamboyant Tangiers Casino, Sam",
Rappelle mon objectif d'entrainement.,Ton objectif est de t'entrainer 40 minutes le jeudi.,"Utilisateur: Bonjour, je m'appelle Nadia. ||| Assistant: Enchante, je retiens ton prenom. ||| Utilisateur: J'habite a Nantes. ||| Assistant: D'accord, je retiens ta ville. ||| Utilisateur: Mon sport prefere est le velo. ||| Assistant: Parfait, je retiens ton sport prefere. ||| Utilisateur: Demain je veux m'entrainer 40 minutes le jeudi. ||| Assistant: Tres bien, je retiens ton objectif sportif."
Quel est mon prenom ?,Ton prenom est Amine.,"Utilisateur: Bonjour, je m'appelle Amine. ||| Assistant: Enchante, je retiens ton prenom. ||| Utilisateur: J'habite a Toulouse. ||| Assistant: D'accord, je retiens ta ville. ||| Utilisateur: Mon sport prefere est le tennis. ||| Assistant: Parfait, je retiens ton sport prefere. ||| Utilisateur: Demain je veux m'entrainer 20 minutes le mercredi. ||| Assistant: Tres bien, je retiens ton objectif sportif."
Quoi d'autre?,"Cette partie est un rêve, je crois. Il y a une tour et une cloche et... un jardin en dessous... mais il semble que ce soit en Espagne... un village en Espagne. Et puis ça clique, et il est parti.",
Rappelle mon prenom et ma ville.,Tu t'appelles Ines et ta ville est Nantes.,"Utilisateur: Salut, je m'appelle Ines. ||| Assistant: Enchante, je retiens ton prenom. ||| Utilisateur: Je viens de Nantes. ||| Assistant: Parfait, je retiens ta ville."
Goldilocks et les trois ours?,Je suis sérieux. Ça ne vous semble pas un peu étrange?,
C'est comme dire des conneries.,"C'est ça. Quand tu dis un mensonge, tu espères t'en sortir. Quand quelqu'un d'autre le fait, tu veux le découvrir. Un bon batsman va repérer un google. Un bon bowler le cachera. Souviens-toi toujours de ça, fils.",
"Je ne l'ai pas fait. Mais c'est une liaison à trois sens entre les Stooges, Patti Smith et les Runaways.","Oui, j'ai besoin de vous faire des CD. Au moins pendant que mon enfant traîne là-dedans.",
C'est bien. Sept de plus pendant que je fais des fusibles.,"Je me disais qu'il y avait tellement de choses que je dois te montrer quand on aura fini ça. C'est l'esprit bombant, les possibilités... Disneyland, la plage, les films... des matines de popcorn et des hot-dogs...",
Et ma ville ?,Ta ville est Nantes.,"Utilisateur: Salut, je m'appelle Sofia. ||| Assistant: Enchante, je retiens ton prenom. ||| Utilisateur: Je viens de Nantes. ||| Assistant: Parfait, je retiens ta ville."
Dans quelle ville j'habite ?,Tu habites a Lyon.,"Utilisateur: Bonjour, je m'appelle Ines. ||| Assistant: Enchante, je retiens ton prenom. ||| Utilisateur: J'habite a Lyon. ||| Assistant: D'accord, je retiens ta ville. ||| Utilisateur: Mon sport prefere est le basket. ||| Assistant: Parfait, je retiens ton sport prefere. ||| Utilisateur: Demain je veux m'entrainer 60 minutes le samedi. ||| Assistant: Tres bien, je retiens ton objectif sportif."
"J'admire votre maturité, c'est tout. Il y a des gens qui trouveraient ce genre de perfection ennuyeux. Jour après jour, année après année...",C'est ce que je pensais au début. Comment peux-tu aimer quelqu'un aussi parfait? Aucun potentiel de viabilité à longue distance.,
Quel est mon prenom ?,Ton prenom est Rachid.,"Utilisateur: Bonjour, je m'appelle Rachid. ||| Assistant: Enchante, je retiens ton prenom. ||| Utilisateur: J'habite a Marseille. ||| Assistant: D'accord, je retiens ta ville. ||| Utilisateur: Mon sport prefere est le natation. ||| Assistant: Parfait, je retiens ton sport prefere. ||| Utilisateur: Demain je veux m'entrainer 30 minutes le dimanche. ||| Assistant: Tres bien, je retiens ton objectif sportif."
Et ma ville ?,Ta ville est Paris.,"Utilisateur: Salut, je m'appelle Sofia. ||| Assistant: Enchante, je retiens ton prenom. ||| Utilisateur: Je viens de Paris. ||| Assistant: Parfait, je retiens ta ville."
Je vais faire la libération conditionnelle.,"Comme l'enfer. Tu n'auras même pas de critique avant d'avoir 70 ans. Et si le conseil commence à être doux, on te laissera sortir dans la cour une nuit avec un jeune taureau qui te mettra cinquante limaces au visage et te demandera ce que tu faisais plus tard.",
Tu peux me rappeler mon prenom ?,Ton prenom est Yanis.,"Utilisateur: Salut, je m'appelle Yanis. ||| Assistant: Enchante, je retiens ton prenom. ||| Utilisateur: Je viens de Toulouse. ||| Assistant: Parfait, je retiens ta ville."
Rappelle mon prenom et ma ville.,Tu t'appelles Amine et ta ville est Nice.,"Utilisateur: Salut, je m'appelle Amine. ||| Assistant: Enchante, je retiens ton prenom. ||| Utilisateur: Je viens de Nice. ||| Assistant: Parfait, je retiens ta ville."
"Je l'ai fait une ou deux fois. J'ai bloqué leurs téléphones aux appels entrants, donc vous devrez couper une ligne difficile pour lui parler.",Maddox! Compris?,
Contexte: je suis client regulier. Tu peux recommander un pc pour montage video sous 700 EUR?,"D'accord, on va regler ca ensemble. Je peux proposer 3 options par gamme de prix si vous me donnez le budget precis.",
Et ma ville ?,Ta ville est Lille.,"Utilisateur: Salut, je m'appelle Mehdi. ||| Assistant: Enchante, je retiens ton prenom. ||| Utilisateur: Je viens de Lille. ||| Assistant: Parfait, je retiens ta ville."
Et ma ville ?,Ta ville est Nice.,"Utilisateur: Salut, je m'appelle Amine. ||| Assistant: Enchante, je retiens ton prenom. ||| Utilisateur: Je viens de Nice. ||| Assistant: Parfait, je retiens ta ville."
Tu peux me rappeler mon prenom ?,Ton prenom est Lea.,"Utilisateur: Salut, je m'appelle Lea. ||| Assistant: Enchante, je retiens ton prenom. ||| Utilisateur: Je viens de Marseille. ||| Assistant: Parfait, je retiens ta ville."
Tu peux me rappeler mon prenom ?,Ton prenom est Sofia.,"Utilisateur: Salut, je m'appelle Sofia. ||| Assistant: Enchante, je retiens ton prenom. ||| Utilisateur: Je viens de Paris. ||| Assistant: Parfait, je retiens ta ville."
Fais un recapitulatif de ce que tu sais sur moi.,"Tu t'appelles Lea, tu habites a Paris, ton sport prefere est le basket, et tu veux t'entrainer 20 minutes le samedi.","Utilisateur: Bonjour, je m'appelle Lea. ||| Assistant: Enchante, je retiens ton prenom. ||| Utilisateur: J'habite a Paris. ||| Assistant: D'accord, je retiens ta ville. ||| Utilisateur: Mon sport prefere est le basket. ||| Assistant: Parfait, je retiens ton sport prefere. ||| Utilisateur: Demain je veux m'entrainer 20 minutes le samedi. ||| Assistant: Tres bien, je retiens ton objectif sportif."
"J'espère que vous pouvez me donner quelques conseils. J'en ai marre de venir ici ou à la poste pour payer mes factures. C'est si loin de chez moi, mais j'ai vérifié et vous êtes ma branche la plus proche. Je peux le faire de la maison?","C'est terrible. Malheureusement, nous n'avons pas autant de branches en dehors du centre de la ville. Je vous conseille de mettre en place un service de débit direct.",
"Dans deux jours, je vais visiter les territoires occidentaux. Et je veux savoir qu'au moins un problème est traité avec compétence en mon absence.","Bien sûr, monsieur, c'est pourquoi j'ai assigné un nouvel homme. Et ce n'est pas un marshal ordinaire. Il est plutôt sophistiqué. Trois diplômes. Un maître du déguisement. Parle français...",
Tu peux me rappeler mon prenom ?,Ton prenom est Sofia.,"Utilisateur: Salut, je m'appelle Sofia. ||| Assistant: Enchante, je retiens ton prenom. ||| Utilisateur: Je viens de Lille. ||| Assistant: Parfait, je retiens ta ville."
Et ma ville ?,Ta ville est Bordeaux.,"Utilisateur: Salut, je m'appelle Rachid. ||| Assistant: Enchante, je retiens ton prenom. ||| Utilisateur: Je viens de Bordeaux. ||| Assistant: Parfait, je retiens ta ville."
"Bruce fait le train de neuf heures. Je lui ai dit que tu serais dessus, sauf si tu veux écrire cette histoire toi-même.","Si c'est ma dernière histoire, j'aimerais que ce soit une bonne histoire. Mais je ne peux pas, Walter.",
Et ma ville ?,Ta ville est Paris.,"Utilisateur: Salut, je m'appelle Sofia. ||| Assistant: Enchante, je retiens ton prenom. ||| Utilisateur: Je viens de Paris. ||| Assistant: Parfait, je retiens ta ville."
Oui?,"Quand nous nettoyions la cellule du Dr Lector, il nous a entendu venir et cacher quelque chose dans un livre... On l'a sorti de là et creusé...",
"Ouais, mais je dis que TruCoat, tu ne comprends pas et tu as des problèmes d'oxydation. Ça te coûtera beaucoup plus de cinq hunnert.","Vous êtes assis ici, vous parlez en rond! Tu parles comme si on n'avait pas déjà parlé de ça!",
"Je comprends qu'ils ont eu une mauvaise chance, du point de vue de la santé, et ils ont mes sympathies. Mais ce n'est pas la faute de PG&E.",Vous plaisantez? Regardez ces lectures pour l'amour de Dieu. Les propres techniciens de PG&E ont documenté à maintes reprises les niveaux toxiques de chrome hexavalent dans ces puits d'essai.,
Tu peux me rappeler mon prenom ?,Ton prenom est Amine.,"Utilisateur: Salut, je m'appelle Amine. ||| Assistant: Enchante, je retiens ton prenom. ||| Utilisateur: Je viens de Paris. ||| Assistant: Parfait, je retiens ta ville."
Quel est mon sport prefere ?,Ton sport prefere est le tennis.,"Utilisateur: Bonjour, je m'appelle Lea. ||| Assistant: Enchante, je retiens ton prenom. ||| Utilisateur: J'habite a Marseille. ||| Assistant: D'accord, je retiens ta ville. ||| Utilisateur: Mon sport prefere est le tennis. ||| Assistant: Parfait, je retiens ton sport prefere. ||| Utilisateur: Demain je veux m'entrainer 45 minutes le lundi. ||| Assistant: Tres bien, je retiens ton objectif sportif."
"Hello, Ou en est ma livraison pour ORD-862612?",La livraison standard prend en general 2 a 5 jours ouvres selon la destination. Je reste avec vous jusqu'a resolution complete.,
Quel est mon sport prefere ?,Ton sport prefere est le natation.,"Utilisateur: Bonjour, je m'appelle Ines. ||| Assistant: Enchante, je retiens ton prenom. ||| Utilisateur: J'habite a Nantes. ||| Assistant: D'accord, je retiens ta ville. ||| Utilisateur: Mon sport prefere est le natation. ||| Assistant: Parfait, je retiens ton sport prefere. ||| Utilisateur: Demain je veux m'entrainer 30 minutes le mercredi. ||| Assistant: Tres bien, je retiens ton objectif sportif."
Tu peux me rappeler mon prenom ?,Ton prenom est Amine.,"Utilisateur: Salut, je m'appelle Amine. ||| Assistant: Enchante, je retiens ton prenom. ||| Utilisateur: Je viens de Nantes. ||| Assistant: Parfait, je retiens ta ville."
Tu peux me rappeler mon prenom ?,Ton prenom est Yanis.,"Utilisateur: Salut, je m'appelle Yanis. ||| Assistant: Enchante, je retiens ton prenom. ||| Utilisateur: Je viens de Nantes. ||| Assistant: Parfait, je retiens ta ville."
Tu peux me rappeler mon prenom ?,Ton prenom est Rachid.,"Utilisateur: Salut, je m'appelle Rachid. ||| Assistant: Enchante, je retiens ton prenom. ||| Utilisateur: Je viens de Nantes. ||| Assistant: Parfait, je retiens ta ville."
Rappelle mon prenom et ma ville.,Tu t'appelles Mehdi et ta ville est Toulouse.,"Utilisateur: Salut, je m'appelle Mehdi. ||| Assistant: Enchante, je retiens ton prenom. ||| Utilisateur: Je viens de Toulouse. ||| Assistant: Parfait, je retiens ta ville."
Tu peux me rappeler mon prenom ?,Ton prenom est Sofia.,"Utilisateur: Salut, je m'appelle Sofia. ||| Assistant: Enchante, je retiens ton prenom. ||| Utilisateur: Je viens de Marseille. ||| Assistant: Parfait, je retiens ta ville."
C'est un soulagement. Je comprends qu'ils ne laissent pas ça les arrêter.,"Cependant... vous serez convoqué pour témoigner devant le Comité des activités non américaines quand ils ouvriront des audiences à Los Angeles. Maintenant, si tu joues au ballon et que tu leur dises ce qu'ils veulent entendre, ils te dégageront.",
Tu peux me rappeler mon prenom ?,Ton prenom est Sarah.,"Utilisateur: Salut, je m'appelle Sarah. ||| Assistant: Enchante, je retiens ton prenom. ||| Utilisateur: Je viens de Nantes. ||| Assistant: Parfait, je retiens ta ville."
Rappelle mon prenom et ma ville.,Tu t'appelles Amine et ta ville est Toulouse.,"Utilisateur: Salut, je m'appelle Amine. ||| Assistant: Enchante, je retiens ton prenom. ||| Utilisateur: Je viens de Toulouse. ||| Assistant: Parfait, je retiens ta ville."
